IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
38.207.132.219,27043,443,true,HKG,Asia Pacific,HK,Hong Kong,23,2.57
38.207.132.219,27033,443,true,HKG,Asia Pacific,HK,Hong Kong,28,2.44
8.212.48.236,443,443,true,HKG,Asia Pacific,HK,Hong Kong,28,2.32
38.207.132.219,27051,443,true,HKG,Asia Pacific,HK,Hong Kong,25,2.28
38.207.132.219,27013,443,true,HKG,Asia Pacific,HK,Hong Kong,23,2.21
13.115.175.120,2086,443,true,HKG,Asia Pacific,HK,Hong Kong,177,2.01
103.44.255.81,443,443,true,HKG,Asia Pacific,HK,Hong Kong,17,1.81
34.150.55.187,8443,443,true,HKG,Asia Pacific,HK,Hong Kong,25,1.73
38.207.132.219,27061,443,true,HKG,Asia Pacific,HK,Hong Kong,30,1.68
8.212.44.95,443,443,true,HKG,Asia Pacific,HK,Hong Kong,30,1.47
47.236.106.19,443,443,true,HKG,Asia Pacific,HK,Hong Kong,200,0.88
38.207.132.219,27014,443,true,HKG,Asia Pacific,HK,Hong Kong,30,0.82
38.207.132.219,40722,443,true,HKG,Asia Pacific,HK,Hong Kong,24,0.77
154.21.202.107,4433,443,true,HKG,Asia Pacific,HK,Hong Kong,26,0.72
45.87.102.122,444,443,true,HKG,Asia Pacific,HK,Hong Kong,245,0.65
47.236.251.178,443,443,true,HKG,Asia Pacific,HK,Hong Kong,197,0.57
154.197.27.44,18488,443,true,HKG,Asia Pacific,HK,Hong Kong,217,0.56
38.207.132.219,30387,443,true,HKG,Asia Pacific,HK,Hong Kong,27,0.50
83.229.125.27,51292,443,true,HKG,Asia Pacific,HK,Hong Kong,119,0.37
8.218.148.106,443,443,true,HKG,Asia Pacific,HK,Hong Kong,21,0.21
141.11.125.215,443,443,true,HKG,Asia Pacific,HK,Hong Kong,428,0.18
154.201.93.166,2454,443,true,HKG,Asia Pacific,HK,Hong Kong,367,0.15
202.181.27.218,14526,443,true,HKG,Asia Pacific,HK,Hong Kong,198,0.14
165.154.43.92,35187,443,true,SJC,North America,US,San Jose,90,0.11
128.1.132.82,443,443,true,HKG,Asia Pacific,HK,Hong Kong,82,0.09
152.32.252.175,8969,443,true,HKG,Asia Pacific,HK,Hong Kong,88,0.08
47.83.234.54,443,443,true,HKG,Asia Pacific,HK,Hong Kong,21,0.07
43.129.97.210,8443,443,true,HKG,Asia Pacific,HK,Hong Kong,24,0.04
219.76.13.166,443,443,true,HKG,Asia Pacific,HK,Hong Kong,593,0.04
47.239.198.1,443,443,true,HKG,Asia Pacific,HK,Hong Kong,26,0.02
203.9.150.104,443,443,true,HKG,Asia Pacific,HK,Hong Kong,344,0.02
47.76.136.17,443,443,true,HKG,Asia Pacific,HK,Hong Kong,26,0.01
47.243.236.86,443,443,true,HKG,Asia Pacific,HK,Hong Kong,21,0.00
165.154.41.40,443,443,true,HKG,Asia Pacific,HK,Hong Kong,81,0.00
