IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
54.255.71.236,443,443,true,SIN,Asia Pacific,SG,Singapore,60,3.90
8.219.133.232,443,443,true,SIN,Asia Pacific,SG,Singapore,209,3.22
8.219.55.28,443,443,true,SIN,Asia Pacific,SG,Singapore,204,2.86
8.219.129.227,443,443,true,SIN,Asia Pacific,SG,Singapore,206,2.75
158.101.71.41,443,443,true,SIN,Asia Pacific,SG,Singapore,251,2.57
8.222.194.49,443,443,true,SIN,Asia Pacific,SG,Singapore,197,2.56
8.219.195.56,443,443,true,SIN,Asia Pacific,SG,Singapore,202,2.38
52.220.58.70,443,443,true,SIN,Asia Pacific,SG,Singapore,66,2.14
8.219.198.144,443,443,true,SIN,Asia Pacific,SG,Singapore,207,2.03
8.219.202.219,443,443,true,SIN,Asia Pacific,SG,Singapore,202,1.97
47.245.123.77,443,443,true,SIN,Asia Pacific,SG,Singapore,201,1.69
8.222.175.47,443,443,true,SIN,Asia Pacific,SG,Singapore,204,1.65
8.222.194.24,443,443,true,SIN,Asia Pacific,SG,Singapore,212,1.61
8.219.169.143,443,443,true,SIN,Asia Pacific,SG,Singapore,195,1.57
8.219.90.229,443,443,true,SIN,Asia Pacific,SG,Singapore,204,1.48
8.222.230.125,443,443,true,SIN,Asia Pacific,SG,Singapore,202,1.47
8.222.128.248,443,443,true,SIN,Asia Pacific,SG,Singapore,206,1.39
8.222.133.249,443,443,true,SIN,Asia Pacific,SG,Singapore,201,1.31
47.236.119.186,443,443,true,SIN,Asia Pacific,SG,Singapore,205,1.31
13.228.142.218,443,443,true,SIN,Asia Pacific,SG,Singapore,65,1.29
8.222.172.252,443,443,true,SIN,Asia Pacific,SG,Singapore,193,1.25
8.222.204.94,443,443,true,SIN,Asia Pacific,SG,Singapore,206,1.23
152.69.227.245,443,443,true,SIN,Asia Pacific,SG,Singapore,247,1.23
13.228.155.72,443,443,true,SIN,Asia Pacific,SG,Singapore,63,1.23
152.69.217.56,443,443,true,SIN,Asia Pacific,SG,Singapore,242,1.18
8.219.223.189,443,443,true,SIN,Asia Pacific,SG,Singapore,205,1.17
47.129.120.161,2086,443,true,SIN,Asia Pacific,SG,Singapore,68,1.17
130.162.145.101,443,443,true,SIN,Asia Pacific,SG,Singapore,268,1.16
8.222.218.30,443,443,true,SIN,Asia Pacific,SG,Singapore,225,1.13
130.162.144.136,443,443,true,SIN,Asia Pacific,SG,Singapore,265,1.10
158.180.76.225,443,443,true,SIN,Asia Pacific,SG,Singapore,244,1.07
8.219.199.168,443,443,true,SIN,Asia Pacific,SG,Singapore,206,1.06
8.219.135.59,443,443,true,SIN,Asia Pacific,SG,Singapore,203,1.06
8.219.96.31,443,443,true,SIN,Asia Pacific,SG,Singapore,210,1.05
8.219.202.117,443,443,true,SIN,Asia Pacific,SG,Singapore,213,1.00
8.219.131.103,443,443,true,SIN,Asia Pacific,SG,Singapore,201,0.99
47.236.105.99,443,443,true,SIN,Asia Pacific,SG,Singapore,206,0.96
8.219.6.63,443,443,true,SIN,Asia Pacific,SG,Singapore,222,0.88
8.219.107.38,443,443,true,SIN,Asia Pacific,SG,Singapore,203,0.87
158.180.78.80,443,443,true,SIN,Asia Pacific,SG,Singapore,238,0.83
8.222.238.43,443,443,true,SIN,Asia Pacific,SG,Singapore,204,0.78
47.236.26.191,443,443,true,SIN,Asia Pacific,SG,Singapore,197,0.75
8.222.230.210,443,443,true,SIN,Asia Pacific,SG,Singapore,206,0.71
152.69.233.78,443,443,true,SIN,Asia Pacific,SG,Singapore,246,0.70
8.222.196.91,443,443,true,SIN,Asia Pacific,SG,Singapore,218,0.69
8.222.217.254,443,443,true,SIN,Asia Pacific,SG,Singapore,210,0.69
8.222.224.12,443,443,true,SIN,Asia Pacific,SG,Singapore,209,0.69
8.219.3.21,443,443,true,SIN,Asia Pacific,SG,Singapore,206,0.67
